Width,Method
0.28896462946600177,PCP
0.23937230537462614,PCP
0.2865070982314671,PCP
0.26866730162399066,PCP
0.27313729897121286,PCP
0.25747850451584436,PCP
0.27445407250026504,PCP
0.25761564036624723,PCP
0.25036429138992233,PCP
0.26446101130591854,PCP
0.30372329502098067,PCP
0.27481669285490745,PCP
0.2788484599565819,PCP
0.2599747719493204,PCP
0.3756103853009779,PCP
0.22213948142465537,PCP
0.32848136659177923,PCP
0.282640805356021,PCP
0.2772680391010794,PCP
0.3084505949098149,PCP
0.27206043243431827,PCP
0.39396389039802804,PCP
0.26404022006235905,PCP
0.25859227837755244,PCP
0.2651406701750537,PCP
0.31757357857514035,PCP
0.2897263036509451,PCP
0.2994889501757999,PCP
0.26821786431845923,PCP
0.2431747277900699,PCP
0.7462632386773136,QKM
0.14770697477204955,QKM
1.3290876579400708,QKM
0.06372925267052632,QKM
0.17610568305513552,QKM
0.5697735390571771,QKM
0.09594095121233195,QKM
0.15410281762805536,QKM
0.07935171192046096,QKM
0.09072195104662038,QKM
0.09705917325613177,QKM
0.0956976132611501,QKM
0.8049623553883651,QKM
0.5836976143888646,QKM
0.19940899974772727,QKM
0.23460645528233962,QKM
0.1979144090168023,QKM
0.3025342514174816,QKM
0.17066119630372015,QKM
0.08820814749704561,QKM
0.16554376001806254,QKM
0.12902649219015105,QKM
0.18661047588692906,QKM
0.1501194567355973,QKM
0.35376839880214384,QKM
1.0781020545489062,QKM
0.06833416016252788,QKM
1.3896403312727406,QKM
0.7713429053137872,QKM
0.10873031059603562,QKM
0.2901353472405243,QKM
0.09409914569801331,QKM
0.25868284925108265,QKM
0.2205110812912106,QKM
0.1570396142176679,QKM
0.0966316336576974,QKM
0.13934981877230243,QKM
0.3264589960920313,QKM
1.1338927185232865,QKM
0.1907431585830363,QKM
0.0733426428518309,QKM
0.8563451677292534,QKM
0.11114937731764034,QKM
0.1778251572800778,QKM
0.09339461969199084,QKM
0.37821083607077627,QKM
0.15613040012022117,QKM
0.10182689732202733,QKM
0.19262794246256354,QKM
1.5466386003701051,QKM
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
0.30321484650668984,Split CP
