Coverage,Method
0.18057069896260433,SCP
0.18123653254808517,SCP
0.1567399896962699,SCP
0.18824098771911704,SCP
0.1671206492548225,SCP
0.18311801485865745,SCP
0.17833603251342783,SCP
0.1868802988696662,SCP
0.163520439149786,SCP
0.16278132257536357,SCP
0.16658270212019025,SCP
0.1772837774542451,SCP
0.16882895228874112,SCP
0.17359757562709904,SCP
0.18390010392891384,SCP
0.16981119898022048,SCP
0.16506275174448376,SCP
0.1815162424141501,SCP
0.17718474707010576,SCP
0.17839654908867864,SCP
0.16910577429272455,SCP
0.1753145314194935,SCP
0.15471124577859263,SCP
0.17148003005593665,SCP
0.17585960958959723,SCP
0.16692532673361207,SCP
0.16586566360193578,SCP
0.1725128124576356,SCP
0.16988505618629407,SCP
0.17267036689264803,SCP
0.161663391605562,SCP
0.17090207975544583,SCP
0.176215899812953,SCP
0.14850480617562611,SCP
0.1596957710911846,SCP
0.16818021392115093,SCP
0.1775190119928732,SCP
0.1807862812684375,SCP
0.17206409459258726,SCP
0.17085201671708972,SCP
0.17744070648147103,SCP
0.1714006464305542,SCP
0.17258453916575156,SCP
0.16841974771800383,SCP
0.1921784314925781,SCP
0.1936657989913272,SCP
0.17533422715946057,SCP
0.19577127762790023,SCP
0.18224532503438187,SCP
0.18552165345366933,SCP
0.2840993784819746,SCP+CC
0.16309098260497043,SCP+CC
0.281662710159893,SCP+CC
0.29944128567425904,SCP+CC
0.2209652533970935,SCP+CC
0.35168747093852,SCP+CC
0.25692508845299283,SCP+CC
0.33313959711055907,SCP+CC
0.28897789112700806,SCP+CC
0.2302407954320324,SCP+CC
0.22076128809619314,SCP+CC
0.2772875307146763,SCP+CC
0.14105398162030058,SCP+CC
0.23469647381748437,SCP+CC
0.17772396221453565,SCP+CC
0.3112508352779315,SCP+CC
0.35127988764956897,SCP+CC
0.2612937316213169,SCP+CC
0.31582886894183076,SCP+CC
0.2178093563236656,SCP+CC
0.25279345656935404,SCP+CC
0.32309119000897163,SCP+CC
0.18638622722821876,SCP+CC
0.2777709189216623,SCP+CC
0.22528371842514142,SCP+CC
0.3014758028624988,SCP+CC
0.23577015190825326,SCP+CC
0.2433582121403403,SCP+CC
0.23942226372645287,SCP+CC
0.25782340572618245,SCP+CC
0.28781980189063056,SCP+CC
0.1719162121844453,SCP+CC
0.20023879251579393,SCP+CC
0.2316442506739417,SCP+CC
0.2595171753889312,SCP+CC
0.3469716511870226,SCP+CC
0.27670611049435295,SCP+CC
0.23951333945273748,SCP+CC
0.260225889449424,SCP+CC
0.2413484955546685,SCP+CC
0.3239119583867876,SCP+CC
0.3775803033361529,SCP+CC
0.28904226411851747,SCP+CC
0.27217149428584897,SCP+CC
0.2464455566461152,SCP+CC
0.1576089854239784,SCP+CC
0.15750370893900545,SCP+CC
0.30654684234326884,SCP+CC
0.27985276068751774,SCP+CC
0.1537809306421758,SCP+CC
0.22002646872887466,RLCP
0.1972852296243838,RLCP
0.27512074266963865,RLCP
0.17758426809503375,RLCP
0.3058933330221211,RLCP
0.26708148672642046,RLCP
0.21799768675785822,RLCP
,RLCP
0.22580074632974614,RLCP
0.19315695609628014,RLCP
0.1964393782427153,RLCP
0.19888430608153881,RLCP
0.20831091505685984,RLCP
0.23724879904652582,RLCP
0.2350189676584052,RLCP
0.1914174105039155,RLCP
0.17093950876095615,RLCP
0.26441551371903543,RLCP
0.2554674593652888,RLCP
0.24760143791656367,RLCP
0.2696177980540757,RLCP
0.2502324329641403,RLCP
0.23680644604222512,RLCP
0.2341151875353531,RLCP
0.2889506045904742,RLCP
0.18470601569057715,RLCP
0.24577637236894484,RLCP
0.3124422902589413,RLCP
0.2673817885356974,RLCP
0.2734441140998622,RLCP
,RLCP
0.2397724601799039,RLCP
0.23952784410479114,RLCP
0.22030258832592325,RLCP
0.22559130245204023,RLCP
0.22124145476223414,RLCP
0.19995273514511389,RLCP
0.2294207823701605,RLCP
0.3049730787352918,RLCP
0.2330514378444693,RLCP
0.25335088508237863,RLCP
0.3425825000223519,RLCP
0.15850084047796092,RLCP
0.2540284899650481,RLCP
0.23361540485443077,RLCP
,RLCP
0.21835588212857487,RLCP
0.24879085950495616,RLCP
0.2832855789530791,RLCP
0.2364259890689459,RLCP
0.23203022754012614,PCP
0.22442457516515701,PCP
0.15518829834517417,PCP
0.21016542115865966,PCP
0.2196155772785499,PCP
0.20301970588323046,PCP
0.21979652530254856,PCP
0.22912479553153187,PCP
0.20875757329090094,PCP
0.2076162679690758,PCP
0.2822953037085247,PCP
0.18657906133452187,PCP
0.17039653028101145,PCP
0.15838563122383947,PCP
0.24050624680406457,PCP
0.2528716325961769,PCP
0.2343048544622945,PCP
0.21072162826764396,PCP
0.20212098631393197,PCP
0.19139995764346912,PCP
0.26270808512980304,PCP
0.21196378380408865,PCP
0.247898995876526,PCP
0.2432446633036181,PCP
0.1644660108481481,PCP
0.21306053848054535,PCP
0.1544888693350488,PCP
0.2069493033041958,PCP
0.18760066072265344,PCP
0.18192447733974956,PCP
0.2054314883179078,PCP
0.1859950576494699,PCP
0.36442791746561015,PCP
0.24217539381140143,PCP
0.20083764525889286,PCP
0.2225568633912926,PCP
0.2568963492335646,PCP
0.25349188458217115,PCP
0.21316760093069564,PCP
0.23929919570128452,PCP
0.20600444707746793,PCP
0.22907142944414208,PCP
0.18618255195608518,PCP
,PCP
0.22964997762705855,PCP
0.3036110491190037,PCP
0.2272751248925618,PCP
,PCP
0.2030660559337591,PCP
0.2132403161717296,PCP
0.01850753315808712,QKM
0.1727998176962656,QKM
0.20557069903646907,QKM
0.9258784738826522,QKM
0.2676950146801932,QKM
0.08142602214663515,QKM
,QKM
,QKM
0.060000542060212735,QKM
0.5863946330329324,QKM
0.30451617430947747,QKM
0.11392199126581573,QKM
0.2412230593232776,QKM
0.3711522056169803,QKM
0.21292834545601325,QKM
0.14264432067138635,QKM
0.19869488790507905,QKM
0.11839130893791054,QKM
1.0068874812221942,QKM
0.13043343922105477,QKM
0.24106267234685497,QKM
0.07091526132849146,QKM
0.28326069849641555,QKM
0.3320396022613016,QKM
0.24707006624576824,QKM
0.13609988731314518,QKM
0.18069377308967038,QKM
0.20195812319811807,QKM
0.12324857301605077,QKM
0.6939907830263001,QKM
0.1992630406532535,QKM
0.20917121636671515,QKM
,QKM
0.2854150930457833,QKM
0.2929581097187318,QKM
0.7115298600661836,QKM
0.24293273589964853,QKM
0.06966784309810269,QKM
0.1214454115374845,QKM
0.26515261099297577,QKM
0.39085067839672466,QKM
,QKM
0.11536813237235992,QKM
0.11558483952214668,QKM
0.18149450245265664,QKM
0.2928701741756749,QKM
0.4346875613665415,QKM
,QKM
0.11499402781982,QKM
0.3073801591033025,QKM
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
0.37417769676068674,Split CP
